"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3342358";"";"None";"418.91";"0";"3.22";"EUB0000520a";"CNc1nc(NCc2ccc(NS(C)(=O)=O)cc2Cl)cc(-c2ccccn2)n1";"EC50";"'='";"3222.64";"nM";"5.49";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5442701";"GPCR PRESTO-Tango dose-response in antagonist mode with target: GLP1R";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HTLA";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5442687";"55";"EUbOPEN Chemogenomic Library";"";"2024";"CHEMBL5446261";"";"POSITIVE ALLOSTERIC MODULATOR";"";"3.22264"
"CHEMBL2018875";"";"None";"793.43";"2";"6.34";"EUB0000941aCl";"COc1ccc2cc(S(=O)(=O)N[C@H](CC(=O)N[C@H](Cc3ccc(CN4[C@H](C)CCC[C@@H]4C)cc3)C(=O)N(C)C(C)C)c3ccc4c(c3)OCO4)ccc2c1.Cl";"IC50";"'='";"5093.53";"nM";"5.29";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5442701";"GPCR PRESTO-Tango dose-response in antagonist mode with target: GLP1R";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HTLA";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5442687";"55";"EUbOPEN Chemogenomic Library";"";"2024";"CHEMBL5446261";"";"ANTAGONIST";"";"5.09353"
"CHEMBL5404247";"";"None";"569.60";"1";"4.16";"29";"CC1CN(c2cccc(OCc3ccc(C#N)cc3F)n2)C=NN1Cc1nc2ccc(C(=O)O)cc2n1C[C@@H]1CCO1";"EC50";"'='";"0.6";"nM";"9.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5344082";"Agonist activity at N-terminal HA-tagged human GLP-1R expressed in HEK293 cells assessed as effect on intracellular cAMP accumulation incubated for 30 mins by LANCA ultra cAMP assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5338823";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.5 hr";"AGONIST";"";"0.6"
"CHEMBL5407160";"";"None";"619.05";"2";"5.61";"47";"Cc1cc2c(Cl)ccc(COc3cccc(N4C=NN(Cc5nc6c(F)cc(C(=O)O)cc6n5C[C@@H]5CCO5)CC4)n3)c2o1";"EC50";"'='";"0.019";"nM";"10.72";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5344082";"Agonist activity at N-terminal HA-tagged human GLP-1R expressed in HEK293 cells assessed as effect on intracellular cAMP accumulation incubated for 30 mins by LANCA ultra cAMP assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5338823";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.5 hr";"AGONIST";"";"19.0"
"CHEMBL3359274";"";"None";"476.67";"1";"5.38";"(S)-9d";"CCCCCCN1CCC[C@H]1CNC(=O)c1cn(C2CCCC2)c(=O)c2c1c1ccccc1n2C";"EC50";"'='";"10300.0";"nM";"4.99";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3388519";"Positive allosteric modulation of human recombinant GLP1 receptor expressed in 9-3-H cells by calcium mobilization assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351313";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"10.3"
"CHEMBL248721";"";"None";"513.47";"2";"5.22";"8d";"CC(C)c1nc2cc(Cl)c(Cl)cc2nc1S(=O)(=O)Cc1ccc(S(=O)(=O)CC2CC2)cc1";"EC50";"'='";"3300.0";"nM";"5.48";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL923944";"Agonist activity at human GLP1 assessed as stimulation of cAMP";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140467";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"3.3"
"CHEMBL250529";"";"None";"349.20";"0";"1.80";"16l";"CC(=O)NNc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O";"EC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL923944";"Agonist activity at human GLP1 assessed as stimulation of cAMP";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140467";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"14.0"
"CHEMBL251128";"";"None";"348.25";"0";"3.18";"16i";"CC(C)N(C)c1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O";"EC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL923944";"Agonist activity at human GLP1 assessed as stimulation of cAMP";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140467";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"1.8"
"CHEMBL502182";"ELAGOLIX SODIUM";"4.0";"653.58";"2";"5.54";"EUB0000472aNa";"COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)[O-])c3ccccc3)c2=O)c1F.[Na+]";"EC50";"'='";"3635.69";"nM";"5.44";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5442701";"GPCR PRESTO-Tango dose-response in antagonist mode with target: GLP1R";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HTLA";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5442687";"55";"EUbOPEN Chemogenomic Library";"";"2024";"CHEMBL5446261";"";"POSITIVE ALLOSTERIC MODULATOR";"";"3.63569"
"CHEMBL410575";"";"None";"3935.50";"None";"None";"31";"CCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]cn1)[C@@H](C)O)[C@@H](C)O)C(C)C)[C@@H](C)CC)C(C)C)C(=O)O)C(=O)O";"EC50";"'='";"0.115";"nM";"9.94";"";"";"UO_0000065";"2.53";"None";"None";"None";"0";"CHEMBL677178";"Potency measured using recombinant human GLP-1 receptor expressed in Baby Hamster Kidney (BHK)cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1784";"Glucagon-like peptide 1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133591";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"115.0"
